uId,uploadTime,name,uploadedBy,comments,description,videoURL,ThumbnailURL
01J1A8R0GM0VWNDKM2NYXS338S,22/8/2023,Toban,01J1A8R0GM9WG9Q0VT8YQJTBJK,"","Insertion of Infusion Device into Fallopian Tube, Via Natural or Artificial Opening",http://dummyimage.com/1920x1080.png/dddddd/000000,http://dummyimage.com/1920x1080.png/dddddd/000000
01J1A8R0RMSKB3HSJ66GAQFR13,25/3/2023,Kings,01J1A8R0RM9VER82VZCDBBAW29,"","Revision of Drainage Device in Pericardial Cavity, Percutaneous Approach",http://dummyimage.com/1920x1080.png/5fa2dd/ffffff,http://dummyimage.com/1920x1080.png/5fa2dd/ffffff
01J1A8R0RN8QZQBN46XYFQ0BVS,29/3/2023,Golden Leaf,01J1A8R0RNQ8WTV4QXVDKY608S,"","Replacement of Left Knee Tendon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",http://dummyimage.com/1920x1080.png/5fa2dd/ffffff,http://dummyimage.com/1920x1080.png/ff4444/ffffff
01J1A8R0RP75XPDZ9THJ2CNS2S,5/6/2023,Vernon,01J1A8R0RPS005S90ZA09A17B1,"","Extirpation of Matter from Lung Lingula, Via Natural or Artificial Opening",http://dummyimage.com/1920x1080.png/5fa2dd/ffffff,http://dummyimage.com/1920x1080.png/dddddd/000000
01J1A8R0RPMSRNQ4F92DN4NSZW,12/4/2023,Memorial,01J1A8R0RQRF1HDQ5BAF1J5X2D,"","Revision of Autologous Tissue Substitute in Left Temporomandibular Joint, Open Approach",http://dummyimage.com/1920x1080.png/cc0000/ffffff,http://dummyimage.com/1920x1080.png/5fa2dd/ffffff
01J1A8R0RQS2G1ZCJVAE7MP01J,20/12/2023,Vidon,01J1A8R0RQ56XETYCNG43HMZV1,"",High Dose Rate (HDR) Brachytherapy of Spleen using Palladium 103 (Pd-103),http://dummyimage.com/1920x1080.png/dddddd/000000,http://dummyimage.com/1920x1080.png/dddddd/000000
01J1A8R0RRSAY6DRTR0C80SSZH,5/3/2023,Hayes,01J1A8R0RRP4DMDKT3R40JRJQ0,"","Bypass Right Innominate Vein to Upper Vein with Autologous Tissue Substitute, Percutaneous Endoscopic Approach",http://dummyimage.com/1920x1080.png/cc0000/ffffff,http://dummyimage.com/1920x1080.png/5fa2dd/ffffff
01J1A8R0RRC3WHS20X8YQ79CD5,5/2/2023,Havey,01J1A8R0RS4Z27ZM2KPKHR1REX,"","Resection of Cul-de-sac, Open Approach",http://dummyimage.com/1920x1080.png/dddddd/000000,http://dummyimage.com/1920x1080.png/dddddd/000000
01J1A8R0RSM443A62J7Z3GM30B,7/4/2023,Butterfield,01J1A8R0RT9G0SMCM487NZ8CMY,"","Revision of Synthetic Substitute in Trachea, Via Natural or Artificial Opening Endoscopic",http://dummyimage.com/1920x1080.png/cc0000/ffffff,http://dummyimage.com/1920x1080.png/cc0000/ffffff
01J1A8R0RTV8X9H8RGHEKFBTB7,15/7/2023,Marquette,01J1A8R0RTT906PAGHSS7GE55B,"","Drainage of Left Middle Ear, Open Approach, Diagnostic",http://dummyimage.com/1920x1080.png/cc0000/ffffff,http://dummyimage.com/1920x1080.png/dddddd/000000
01J1A8R0RV2HRPM8Y81C8SZW8S,13/3/2023,Melby,01J1A8R0RV4FRRG3RWKSD5AB5Z,"","Dilation of Right Internal Mammary Artery with Three Intraluminal Devices, Open Approach",http://dummyimage.com/1920x1080.png/ff4444/ffffff,http://dummyimage.com/1920x1080.png/cc0000/ffffff
01J1A8R0RVKB2TP6Y8B9QNYK2Q,3/3/2023,Kipling,01J1A8R0RWH5GGBXB9DT03CRKW,"","Excision of Cerebral Meninges, Open Approach, Diagnostic",http://dummyimage.com/1920x1080.png/ff4444/ffffff,http://dummyimage.com/1920x1080.png/ff4444/ffffff
01J1A8R0RW0R49EH2XMX9GA348,26/2/2023,Division,01J1A8R0RW7JTZV5DFR36A9ER0,"","Revision of Bone Growth Stimulator in Nasal Bone, Open Approach",http://dummyimage.com/1920x1080.png/ff4444/ffffff,http://dummyimage.com/1920x1080.png/dddddd/000000
01J1A8R0RX4TH631VNKFYC6WS4,7/12/2023,Ridgeview,01J1A8R0RXZY8SV4HACQ3DRZ87,"","Removal of Nonautologous Tissue Substitute from Cervical Vertebral Disc, Percutaneous Approach",http://dummyimage.com/1920x1080.png/dddddd/000000,http://dummyimage.com/1920x1080.png/5fa2dd/ffffff
01J1A8R0RXHHDKXVXFHT39HP1Z,19/4/2023,Superior,01J1A8R0RYSK0C6519REM057M5,"","Excision of Left Lower Leg, Open Approach",http://dummyimage.com/1920x1080.png/ff4444/ffffff,http://dummyimage.com/1920x1080.png/5fa2dd/ffffff
01J1A8R0RY74P0RZV12NQGDAS8,11/5/2023,Birchwood,01J1A8R0RYCS66XB0WR1ZGWY0D,"","Revision of Autologous Tissue Substitute in Right Patella, Percutaneous Endoscopic Approach",http://dummyimage.com/1920x1080.png/5fa2dd/ffffff,http://dummyimage.com/1920x1080.png/ff4444/ffffff
01J1A8R0RZDY3RVB40FAPPS2RB,22/8/2023,Merrick,01J1A8R0RZ9S7DDYYT4PD0YMKP,"",Low Dose Rate (LDR) Brachytherapy of Trachea using Iridium 192 (Ir-192),http://dummyimage.com/1920x1080.png/5fa2dd/ffffff,http://dummyimage.com/1920x1080.png/5fa2dd/ffffff
01J1A8R0S06GTE0QM1XZXG09CK,25/8/2023,Sullivan,01J1A8R0S07F9W2KJDYZS32DH9,"",Positron Emission Tomographic (PET) Imaging of Respiratory System using Other Radionuclide,http://dummyimage.com/1920x1080.png/ff4444/ffffff,http://dummyimage.com/1920x1080.png/dddddd/000000
01J1A8R0S0S138GSKBTBQ7HRHJ,27/4/2023,Marcy,01J1A8R0S1CH88DSTA21JN68T3,"","Removal of Radioactive Element from Peritoneal Cavity, Percutaneous Approach",http://dummyimage.com/1920x1080.png/5fa2dd/ffffff,http://dummyimage.com/1920x1080.png/cc0000/ffffff
01J1A8R0S1MWATGRTJ2NJ3T5AV,30/9/2023,Lindbergh,01J1A8R0S2RTX26TJGN4NB55NZ,"",Beam Radiation of Larynx using Photons >10 MeV,http://dummyimage.com/1920x1080.png/5fa2dd/ffffff,http://dummyimage.com/1920x1080.png/cc0000/ffffff
01J1A8R0S2A8ZEC75JCVTMM31S,16/5/2023,Bobwhite,01J1A8R0S2WMCJHZYCZ6DFED9N,"","Removal of Other Device from Left Pleural Cavity, Percutaneous Approach",http://dummyimage.com/1920x1080.png/cc0000/ffffff,http://dummyimage.com/1920x1080.png/dddddd/000000
01J1A8R0S3TFR3ZVXFTPAMCE29,16/8/2023,Chive,01J1A8R0S3T0BG03T7FQ2JK9H0,"",Change Bandage on Left Lower Extremity,http://dummyimage.com/1920x1080.png/cc0000/ffffff,http://dummyimage.com/1920x1080.png/ff4444/ffffff
01J1A8R0S46F4AY8HN2YZZ0GTT,25/5/2023,Milwaukee,01J1A8R0S43GNVPF2FFJRNR8PA,"","Dilation of Left External Iliac Artery, Percutaneous Approach",http://dummyimage.com/1920x1080.png/ff4444/ffffff,http://dummyimage.com/1920x1080.png/cc0000/ffffff
01J1A8R0S4X3JHFK53XB0W2WTJ,23/3/2023,Dawn,01J1A8R0S53MK9R9JD6YYTPQ6Y,"","Repair Right External Auditory Canal, Via Natural or Artificial Opening Endoscopic",http://dummyimage.com/1920x1080.png/5fa2dd/ffffff,http://dummyimage.com/1920x1080.png/dddddd/000000
01J1A8R0S5PQP652SQQ31Y2N84,4/10/2023,Jenna,01J1A8R0S5PANVZRQ44VAK26KV,"","Insertion of Internal Fixation Device into Left Carpal Joint, Percutaneous Approach",http://dummyimage.com/1920x1080.png/5fa2dd/ffffff,http://dummyimage.com/1920x1080.png/cc0000/ffffff
01J1A8R0S67A0ZTJ77ZH1GZ1K9,26/7/2023,Hovde,01J1A8R0S60CDX1JZWENW4SKMZ,"","Supplement Left 4th Toe with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",http://dummyimage.com/1920x1080.png/ff4444/ffffff,http://dummyimage.com/1920x1080.png/cc0000/ffffff
01J1A8R0S68J8ZYAK5PTF61MX1,19/4/2023,Golden Leaf,01J1A8R0S7SA65GS5SMRF9MRCQ,"","Drainage of Pituitary Gland with Drainage Device, Open Approach",http://dummyimage.com/1920x1080.png/5fa2dd/ffffff,http://dummyimage.com/1920x1080.png/cc0000/ffffff
01J1A8R0S7FK9WT4W26MNAKGDZ,22/9/2023,Redwing,01J1A8R0S7PMFJ3ZJX2QRPRBZ9,"","Transfer Upper Lip, Open Approach",http://dummyimage.com/1920x1080.png/dddddd/000000,http://dummyimage.com/1920x1080.png/5fa2dd/ffffff
01J1A8R0S8SDY4Y45FK9WEA6FV,24/9/2023,Division,01J1A8R0S8T3NPN1GRHXHWQZA9,"","Dilation of Left Subclavian Artery, Bifurcation, with Three Intraluminal Devices, Open Approach",http://dummyimage.com/1920x1080.png/ff4444/ffffff,http://dummyimage.com/1920x1080.png/ff4444/ffffff
01J1A8R0S8XQEBXX3MS0469HSM,27/8/2023,Sunfield,01J1A8R0S9SCHA140M2GSW9PBN,"","Release Glomus Jugulare, Open Approach",http://dummyimage.com/1920x1080.png/5fa2dd/ffffff,http://dummyimage.com/1920x1080.png/cc0000/ffffff
